Id,Expected
2971-36-0;1644,2
693-54-9;2451,2
7173-51-5;1384,2
138261-41-3;16,2
7681-82-5;1856,2
13194-48-4;1646,2
1763-23-1;1374,1
1689-84-5;1611,2
60-01-5;1852,2
121-75-5;1647,2
106-87-6;40,2
59669-26-0;1637,2
41372-08-1;1857,2
121-75-5;1385,2
NOCAS_47267;23,2
82657-04-3;1378,2
1134-23-2;1386,2
22915-73-7;31,2
960-71-4;1852,2
83657-24-3;1627,1
91-62-3;37,2
208465-21-8;32,2
21725-46-2;1636,1
6893-02-3;2447,2
579-66-8;40,2
473289-62-2;2452,2
55283-68-6;1634,2
25606-41-1;1857,2
474-86-2;1852,2
107534-96-3;1855,2
82558-50-7;1850,1
141112-29-0;1687,2
115-29-7;1652,1
145-73-3;38,1
67747-09-5;1611,2
330-55-2;1373,2
77-89-4;1380,2
1948-33-0;1389,2
81777-89-1;1656,2
3380-34-5;6,2
23593-75-1;23,2
118134-30-8;1856,1
15619-48-4;1857,1
89-71-4;1850,2
59669-26-0;1620,2
1007-28-9;1507,2
97322-87-7;2300,2
2605-79-0;1507,2
NOCAS_47334;1856,1
51235-04-2;19,2
72-55-9;30,2
NOCAS_48507;2447,2
116714-46-6;1682,2
122931-48-0;1652,2
154-42-7;37,2
1634-78-2;1637,2
16672-87-0;1509,2
55219-65-3;40,2
131-17-9;2450,2
5598-15-2;28,2
6624-73-3;1374,2
110-65-6;1857,2
13194-48-4;1647,2
124378-77-4;2451,2
17804-35-2;1509,2
76-87-9;1683,2
2310-17-0;30,2
173159-57-4;1622,2
548-62-9;1855,2
3724-65-0;1852,2
108-44-1;2452,2
86-50-0;1631,1
81334-34-1;2452,2
458-37-7;37,2
298-04-4;27,2
60207-90-1;13,2
59-05-2;1848,2
512-56-1;1855,2
NOCAS_47248;1382,2
81335-77-5;1386,2
2772-45-4;1855,2
94-08-6;1857,2
107-41-5;1855,2
121-54-0;2452,2
637-07-0;2452,2
7487-94-7;1381,1
1009-93-4;1852,1
4680-78-8;2452,2
99-08-1;36,2
120-61-6;1686,2
107-98-2;1856,2
74051-80-2;1797,2
87-90-1;27,2
298198-52-4;23,2
919-30-2;1856,2
311-45-5;1857,1
133-07-3;28,2
40487-42-1;1644,2
7696-12-0;25,1
131860-33-8;26,2
33703-08-1;30,2
1582-09-8;1855,2
109-43-3;36,2
929601-09-2;1385,2
94-28-0;24,2
95-87-4;1852,2
86-73-7;1372,2
74863-84-6;2453,2
78587-05-0;1857,1
789-02-6;1388,2
1929-77-7;1374,2
28249-77-6;1640,2
78587-05-0;1382,2
116714-46-6;1631,2
213464-77-8;2452,2
145701-21-9;40,2
87-90-1;1642,2
25606-41-1;26,2
181640-09-5;27,2
57-13-6;40,2
19666-30-9;33,2
119446-68-3;1856,1
1118-92-9;1850,2
120116-88-3;1653,2
134605-64-4;1625,2
838-88-0;1852,2
80-05-7;1373,1
122-99-6;1636,2
54593-83-8;1624,2
107-88-0;1372,2
25265-71-8;1378,2
319-85-7;31,2
314-40-9;1654,2
99-99-0;1374,2
123-05-7;2453,2
55-38-9;1617,1
97886-45-8;1855,1
39515-41-8;1639,2
173584-44-6;1631,1
39300-45-3;1855,2
121-14-2;1857,2
79241-46-6;2450,2
96-76-4;1388,2
525-82-6;2452,2
84-74-2;1641,2
149979-41-9;35,2
139-13-9;1858,2
1068967-96-3;25,1
134-62-3;1651,2
97-00-7;2452,2
709-98-8;2444,1
5870-93-9;1850,2
75-60-5;1377,2
26530-20-1;1688,2
3380-34-5;14,2
113734-18-2;34,2
744-45-6;1850,2
27178-16-1;1856,2
557-34-6;2453,2
78-69-3;1850,2
